id_country,Year,Score,GDP,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Confidence in national government
3,2017,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.37479353
3,2018,6.665903567999999,10.57335186,0.921463072,73.80000305,0.8163772229999999,-0.141567126,0.581775308,0.38054743399999996
4,2005,6.006309986000001,10.29415321,0.836539447,70.5,0.7341718079999999,,0.860563099,0.48754349399999997
4,2007,6.646961212000001,10.37580013,0.8080026509999999,70.90000153,0.575308859,-0.192435205,0.844570935,0.38142845
4,2009,6.038574696,10.32319832,0.793317616,71.30000305,0.44310784299999995,-0.294965118,0.958768308,0.316206783
4,2010,5.839558601,10.2655611,0.8684224490000001,71.5,0.484110981,-0.304612339,0.954113841,0.236502409
4,2011,5.372039795,10.17127228,0.85155499,71.55999756,0.5281259420000001,-0.317883313,0.941152513,0.17515121399999997
4,2012,5.0963540080000005,10.10087299,0.81214112,71.62000275,0.37261042,-0.306134254,0.958908975,0.126218989
4,2013,4.720251083,10.07517338,0.686650038,71.68000031,0.42596653100000004,-0.27318894899999996,0.941309869,0.143608585
4,2014,4.75623703,10.08920479,0.832333207,71.73999786,0.369156331,-0.28912001800000003,0.9302138090000001,0.18829274199999999
4,2015,5.622519016,10.09288025,0.834824681,71.80000305,0.531736314,-0.27328527,0.8239596490000001,0.437318921
4,2016,5.302619457,10.09459305,0.802605867,72.0,0.481616855,-0.26143381,0.898470819,0.13248655199999998
4,2017,5.14824152,10.10945988,0.7528995279999999,72.19999695,0.43830001399999996,-0.291227311,0.87223947,0.139880896
4,2018,5.40928936,10.13205814,0.793500781,72.40000153,0.564455688,-0.336384535,0.8603023890000001,0.157048658
8,2005,6.853783607,10.53487492,0.9280006890000001,71.90000153,0.802194953,,0.943912327,0.238738
8,2007,6.574412346,10.561318400000001,0.912292421,72.26000214,0.684297025,0.110725991,0.9221965670000001,0.30342415
8,2008,6.779774188999999,10.54413414,0.87966311,72.44000244,0.543076873,0.046619377999999996,0.945625067,0.36311656200000003
8,2009,6.3338003160000005,10.48319817,0.880312502,72.62000275,0.700550497,0.23812349100000002,0.889984667,0.399521708
8,2010,6.354238033,10.4968462,0.8723841309999999,72.80000305,0.737738907,-0.061857227,0.921075165,0.333916396
8,2011,6.057086468,10.50087643,0.913309336,72.83999634,0.567738414,-0.020065753000000002,0.9334609509999999,0.25955969100000004
8,2012,5.8393139839999995,10.46958542,0.86948663,72.87999725,0.570094943,0.110555314,0.9083236459999999,0.28069460399999996
8,2013,6.009373665,10.44056034,0.916296065,72.91999817,0.499168754,-0.104565948,0.942639291,0.145972148
8,2014,6.026585102,10.43252182,0.89789933,72.95999908,0.623531222,-0.06720639,0.919959545,0.309035748
8,2015,5.847683907,10.44295979,0.9089865090000001,73.0,0.5747657420000001,-0.066691227,0.912753046,0.260625869
8,2016,5.95452404,10.45320511,0.9272128340000001,73.19999695,0.623741627,-0.082749397,0.902801216,0.23759909
8,2017,6.198870182,10.469371800000001,0.9197912220000001,73.40000153,0.632843256,-0.037178084,0.866667926,0.230196297
8,2018,6.516526699,10.48051643,0.912656128,73.59999847,0.650009274,-0.023462268999999997,0.8878248329999999,0.206626192
2,2005,7.463979244,10.68068409,0.9473579529999999,70.40000153,0.901007771,,0.57134223,0.429006547
2,2007,7.4518795010000005,10.74780178,0.9438540940000001,70.80000305,0.8960180879999999,0.338673115,0.445436567,0.661945999
2,2008,7.631011963,10.76075649,0.9442022440000001,71.0,0.8832872509999999,0.359816253,0.418940485,0.617428839
2,2010,7.501875877000001,10.72600937,0.9565368890000001,71.40000153,0.921448231,0.344101906,0.398591846,0.636186302
2,2011,7.563797951000001,10.73784447,0.938396096,71.51999664,0.92543155,0.330308765,0.359395891,0.603366792
2,2012,7.470715522999999,10.72351742,0.9388846759999999,71.63999939,0.8771186470000001,0.28282368199999997,0.433753788,0.574513912
2,2013,7.406550407,10.71866417,0.9247054459999999,71.76000214,0.9189958570000001,0.2992917,0.5045299529999999,0.542986929
2,2014,7.32118845,10.72916317,0.9089957479999999,71.87999725,0.910179615,0.326043248,0.45694837,0.525242269
2,2015,7.324437141000001,10.74708652,0.8790104390000001,72.0,0.903978765,0.255913168,0.41182211,0.579621017
2,2016,7.540877342000001,10.76362324,0.9259442090000001,72.09999847,0.907310009,0.233066663,0.43330425,0.572273314
2,2017,7.458965302,10.78875256,0.9365013240000001,72.19999695,0.9203197359999999,0.244597197,0.363133639,0.669553638
2,2018,7.463097095,10.8092041,0.939443171,72.30000305,0.919985175,0.155536488,0.370557785,0.656541049
9,2005,5.587209225,9.752287865,0.9215276240000001,66.30000305,0.782473147,,0.9829308990000001,0.06876874
9,2007,5.886137486,9.881410599,0.912639678,66.69999695,0.772223353,-0.052926231,0.9252855179999999,0.18788348100000002
9,2009,5.7720274929999995,9.950027466,0.9167981740000001,67.09999847,0.820649087,0.067381576,0.8977620009999999,0.284511507
9,2010,5.8870296479999995,9.98831749,0.95506531,67.30000305,0.794900477,-0.004292628,0.9046972990000001,0.333801061
9,2011,5.646204947999999,10.03673458,0.9045786259999999,67.45999908,0.868148923,-0.072977275,0.907953143,0.27237618
9,2012,5.87593174,10.05268764,0.9359238740000001,67.62000275,0.811301708,-0.03269821,0.8878958229999999,0.26862874600000003
9,2013,5.746131897000001,10.06711483,0.911934912,67.77999878,0.775931358,-0.143367842,0.915677428,0.163588136
9,2014,5.750282287999999,10.10016727,0.923642278,67.94000244,0.8753570909999999,-0.070496768,0.897741735,0.252522856
9,2015,6.007021904,10.13855839,0.8930904270000001,68.09999847,0.793462157,-0.099409871,0.810096323,0.211427912
9,2016,6.162076473,10.16722965,0.91739881,68.5,0.8707075120000001,-0.097280823,0.847753942,0.382713199
9,2017,6.201268196,10.21157646,0.881854117,68.90000153,0.830842614,-0.127978221,,0.502480447
1,2005,7.152785777999999,10.40128803,0.9610428809999999,71.5,0.916164696,,0.777272284,0.52784574
1,2007,6.994614601,10.44376469,0.9568585159999999,72.05999756,0.78208214,-0.09747643800000001,0.783717752,0.47624892
1,2008,7.2944726939999995,10.43892574,0.9482705,72.33999634,0.83378607,-0.15376845,0.683210194,0.579760432
1,2009,6.198601246,10.39367676,0.92945385,72.62000275,0.7485147120000001,-0.131539837,0.797704637,0.424362034
1,2010,6.188262462999999,10.38921356,0.9499403829999999,72.90000153,0.7964955570000001,-0.142079473,0.839746296,0.302731603
1,2011,6.518249035,10.37562275,0.944443703,73.01999664,0.8186509009999999,-0.12566027,0.845543444,0.30866271300000003
1,2012,6.290690422000001,10.34525871,0.937023342,73.13999939,0.7545861009999999,-0.06326709700000001,0.8435930009999999,0.339146554
1,2013,6.150027275,10.33133125,0.928640485,73.26000214,0.759356439,-0.105050765,0.9158225659999999,0.18454965899999998
1,2014,6.456477642,10.34802628,0.947864413,73.37999725,0.738472342,-0.031811371,0.8538879159999999,0.210619807
1,2015,6.380663395,10.38254833,0.95647186,73.5,0.73200047,-0.075814046,0.8216649290000001,0.277751327
1,2016,6.318612099,10.41392422,0.941736817,73.80000305,0.7681737540000001,-0.051830858,0.8185585740000001,0.30251666899999996
1,2017,6.230173111,10.4420948,0.9031581879999999,74.09999847,0.755560756,-0.036033396,0.791268766,0.269585967
1,2018,6.513370991,10.46559429,0.9103146790000001,74.40000153,0.7222506999999999,-0.079350598,0.776504457,0.285195619
10,2005,7.376315593999999,10.62685585,0.9514698979999999,71.19999695,0.964395404,,,0.440848559
10,2007,7.241362572000001,10.69311428,0.916559398,71.48000336,0.90996182,0.139373079,0.28933215100000004,0.562064052
10,2008,7.51599741,10.67973709,0.923092127,71.62000275,0.9116092920000001,0.11837889300000001,0.313961208,0.517427444
10,2009,7.265977382999999,10.61797905,0.902532995,71.76000214,0.864004612,0.214484662,0.292112172,0.5903376339999999
10,2010,7.496018887000001,10.66761875,0.97024262,71.90000153,0.9046999809999999,0.13516292,0.253086656,0.602851212
10,2011,7.382232189,10.68636227,0.920521259,71.98000336,0.941115439,0.15554896,0.268513024,0.638707519
10,2012,7.560147762000001,10.67609787,0.929397464,72.05999756,0.944382191,0.125826225,0.253543109,0.6264972089999999
10,2013,7.434010506,10.6799593,0.915648043,72.13999939,0.935910523,0.152734622,0.324481547,0.579855025
10,2014,7.239147663,10.69574738,0.932719827,72.22000122,0.9452733990000001,0.19555693899999999,0.25038999300000003,0.563272059
10,2015,7.28892231,10.72939968,0.929459989,72.30000305,0.9350720640000001,0.204892784,0.231964141,0.49930203
10,2016,7.368744372999999,10.74867249,0.912060678,72.40000153,0.918036401,0.13858190199999998,0.246182442,0.485791326
10,2017,7.286804676,10.75682354,0.914016783,72.5,0.934582114,0.163362831,0.23936691899999998,0.5594619510000001
10,2018,7.3747920989999995,10.76693249,0.93067956,72.59999847,0.9417246579999999,0.069573253,0.26279658100000003,0.49439624
